TicksStatic;DistStatic;AStarQntStatic;ProcessTimeMSStatic;TicksDynamic;DistDynamic;AStarQntDynamic;ProcessTimeMSDynamic;Result
120;8481.31;1;28;120;8481.31;1;40;0
51;3296.75;1;25;51;3296.75;1;27;0
1723;21563.6;1;43;354;22397.1;5;405;1
143;9413.21;1;28;143;9413.21;1;50;0
335;24038.4;1;45;335;24038.4;1;125;0
114;7145.07;1;27;114;7145.07;1;33;0
5051;10964.7;1;33;157;11237.1;3;126;1
133;8419.59;1;29;133;8419.59;1;52;0
165;9954.62;1;50;165;9954.62;1;114;0
116;6671.01;1;24;116;6671.01;1;29;0
965;13118;1;32;210;13730.1;1;67;1
532;17980;1;35;534;18045.5;14;549;2
116;7207.7;1;25;116;7207.7;1;33;0
92;6465.78;1;24;92;6465.78;1;31;0
2545;11602.4;1;26;172;12530.3;1;53;1
125;7613.46;1;24;125;7613.46;1;29;0
4838;5124.15;1;20;4877;8542.9;5;459;2
67;4223.26;1;24;67;4223.26;1;28;0
215;15424.8;1;40;215;15424.8;1;74;0
173;11110.2;1;28;173;11110.2;1;45;0
964;6818.93;1;22;964;6818.93;2;50;0
997;28768.5;1;53;452;30112;2;251;1
145;8988.9;1;28;145;8988.9;1;42;0
164;9734.3;1;28;164;9734.3;1;40;0
240;15376.2;1;32;240;15376.2;1;64;0
112;7515.39;1;25;139;9168.51;3;133;2
176;11270.6;1;27;176;11270.6;1;40;0
164;11366.1;1;24;164;11366.1;1;29;0
90;5628.1;1;25;90;5628.1;1;42;0
228;16363.3;1;33;228;16363.3;1;63;0
107;7100.13;1;26;107;7100.13;1;31;0
256;14857.3;1;35;256;14857.3;1;72;0
1004;12101.9;1;28;219;12724.8;1;52;1
2893;14554.1;1;34;215;14905.6;1;72;1
78;4818.64;1;23;78;4818.64;1;25;0
551;10718.1;1;28;186;10899.8;1;45;1
151;11227.8;1;29;151;11227.8;1;48;0
194;12353.8;1;31;194;12353.8;1;58;0
341;14924.1;1;34;341;14924.1;115;3787;0
153;9823.51;1;27;153;9823.51;1;43;0
43;3111.14;1;23;43;3111.14;1;22;0
120;7686.11;1;26;120;7686.11;1;36;0
78;6013.8;1;23;78;6013.8;1;26;0
157;9767.09;1;27;157;9767.09;1;39;0
2772;6794.2;1;25;129;8118.89;1;40;1
2763;24648.4;1;47;409;25674.1;3;384;1
277;18493.7;1;30;277;18493.7;1;59;0
13;893.011;1;25;13;893.011;1;21;0
164;11414.2;1;30;164;11414.2;1;46;0
1887;4740.18;1;20;1887;4740.18;12;298;0
253;15439.3;1;36;253;15439.3;1;74;0
222;14162.3;1;31;222;14162.3;1;64;0
63;4195.44;1;23;63;4195.44;1;25;0
135;8755.97;1;24;135;8755.97;1;32;0
182;11355.8;1;29;182;11355.8;1;53;0
531;12457.8;1;34;209;13558.9;2;159;1
1863;17335.2;1;33;1863;18623.1;79;2399;0
752;16469;1;38;265;17379.5;5;402;1
224;15703.5;1;37;224;15703.5;1;85;0
1431;18160.5;1;27;1431;18160.5;9;517;0
140;9372.18;1;28;140;9372.18;1;51;0
943;12248.7;1;30;210;12373.8;2;76;1
206;12295.3;1;31;206;12295.3;1;62;0
